,LAchildID,CINdetailsID,CINreferralDate,ReferralSource,PrimaryNeedCode,CINclosureDate,ReasonForClosure,DateOfInitialCPC,ReferralNFA
36,RND000098194912,1,31/08/2012,7,N6,03/03/2014,RC2,21/10/2012,FALSE
37,RND000208190171,1,11/11/2018,1D,N5,09/08/2019,RC4,27/12/2018,FALSE
38,RND000566350498,1,08/08/2007,1B,N2,,,03/10/2007,FALSE
39,RND000456325944,1,16/10/2018,3F,N7,05/12/2020,RC4,19/10/2018,FALSE
40,RND000456325944,2,07/07/2021,1A,N0,,,19/08/2021,FALSE
41,RND000837324443,1,18/02/2013,1C,N1,,,07/04/2013,FALSE
42,RND000681728276,1,19/02/2010,3E,N6,18/08/2011,RC5,16/04/2010,FALSE
43,RND000769380139,1,18/03/2020,3C,N2,09/07/2021,RC1,06/04/2020,FALSE
44,RND000439856038,1,21/11/2020,2A,N1,05/06/2021,RC8,10/12/2020,FALSE
45,RND000511495280,1,19/11/2009,9,N1,09/09/2010,RC1,20/11/2009,FALSE
46,RND000789331304,1,30/04/2018,7,N4,25/11/2018,RC6,16/07/2018,FALSE
47,RND000789331304,2,11/06/2020,3A,N6,,,17/07/2020,FALSE
48,RND000784982652,1,15/07/2014,5C,N7,24/10/2014,RC1,05/08/2014,FALSE
49,RND000784982652,2,24/10/2014,3E,N8,,,,FALSE
50,RND000023756069,1,05/01/2022,3E,N8,,,20/01/2022,FALSE
51,RND000181441469,1,19/10/2015,3C,N7,27/02/2018,RC2,27/12/2015,FALSE
52,RND000445703743,1,13/05/2017,5A,N1,,,07/07/2017,FALSE
53,RND000676691998,1,03/05/2005,6,N0,20/12/2010,RC5,06/06/2005,FALSE
54,RND000676691998,2,23/01/2018,3A,N3,22/04/2018,RC6,02/04/2018,FALSE
55,RND000702784676,1,01/09/2017,1A,N2,,,27/11/2017,FALSE
56,RND000578749469,1,12/06/2010,1D,N3,,,25/08/2010,FALSE
57,RND000007041479,1,21/12/2020,3E,N8,,,05/03/2021,FALSE
58,RND000770683107,1,29/04/2012,2A,N8,,,,FALSE
59,RND000302235890,1,08/12/2015,5B,N9,15/10/2017,RC3,26/12/2015,FALSE
60,RND000658062289,1,22/08/2012,3B,N5,,,18/09/2012,FALSE
61,RND000895449195,1,20/10/2012,2A,N0,22/05/2019,RC8,10/12/2012,FALSE
62,RND000718811098,1,09/03/2022,3F,N6,,,22/05/2022,FALSE
63,RND000651029434,1,22/10/2009,2B,N3,27/08/2015,RC8,18/11/2009,FALSE
64,RND000551986609,1,17/02/2011,3F,N2,31/03/2015,RC4,21/03/2011,FALSE
65,RND000469602476,1,03/07/2016,3C,N3,,,,FALSE
66,RND000294787773,1,20/06/2009,1D,N6,,,31/08/2009,FALSE
67,RND000537912846,1,04/05/2021,7,N5,,,,FALSE
68,RND000487870215,1,08/11/2021,1A,N1,,,28/12/2021,FALSE
69,RND000415680972,1,14/12/2013,2B,N9,31/03/2014,RC5,24/12/2013,FALSE
70,RND000235844862,1,01/11/2014,2A,N2,,,26/01/2015,FALSE
71,RND000467290394,1,30/09/2013,5C,N0,05/02/2020,RC7,27/10/2013,FALSE
72,RND000619466347,1,14/08/2020,5C,N9,,,30/10/2020,FALSE
73,RND000004927037,1,06/01/2019,1B,N0,14/05/2020,RC2,11/02/2019,FALSE
74,RND000964729912,1,08/05/2020,4,N2,12/07/2020,RC3,10/06/2020,FALSE
75,RND000035456289,1,07/04/2013,1C,N1,06/07/2013,RC3,28/04/2013,FALSE
76,RND000785618044,1,26/11/2013,5B,N2,28/11/2013,RC1,,FALSE
77,RND000075046261,1,20/11/2007,1B,N7,05/08/2008,RC2,20/12/2007,FALSE
78,RND000241874800,1,05/09/2004,5B,N1,,,,FALSE
79,RND000656989709,1,21/08/2020,5B,N9,26/04/2022,RC3,03/09/2020,FALSE
80,RND000989010565,1,08/11/2018,1B,N3,,,17/11/2018,FALSE
81,RND000409224929,1,07/02/2018,3D,N3,,,28/03/2018,FALSE
82,RND000905583315,1,20/03/2015,1C,N8,30/12/2015,RC6,08/04/2015,FALSE
83,RND000744539787,1,24/01/2021,3C,N8,06/02/2021,RC7,,FALSE
84,RND000744539787,2,22/05/2021,2A,N6,,,,FALSE
85,RND000500919434,1,18/10/2008,8,N2,11/04/2010,RC4,24/10/2008,FALSE
86,RND000529243302,1,13/01/2022,1D,N1,,,24/03/2022,FALSE
87,RND000423764273,1,09/07/2016,3C,N3,,,27/08/2016,FALSE
88,RND000078162964,1,09/11/2015,2A,N9,14/06/2022,RC6,25/12/2015,FALSE
89,RND000333386932,1,30/12/2019,2A,N7,,,14/02/2020,FALSE
90,RND000224257731,1,16/12/2014,3A,N1,25/05/2019,RC5,07/03/2015,FALSE
91,RND000702140092,1,28/04/2022,7,N4,18/07/2022,RC6,11/05/2022,FALSE
92,RND000478739022,1,13/11/2021,3B,N6,06/12/2021,RC1,,FALSE
93,RND000923778427,1,12/10/2014,1D,N7,21/11/2016,RC4,21/10/2014,FALSE
94,RND000358554892,1,15/10/2018,5A,N2,05/08/2020,RC2,29/12/2018,FALSE
95,RND000358554892,2,18/08/2020,2A,N6,,,,FALSE
96,RND000114887428,1,23/11/2010,5B,N4,18/08/2012,RC7,19/12/2010,FALSE
97,RND000031122698,1,12/08/2019,1A,N9,17/09/2021,RC7,05/10/2019,FALSE
98,RND000875696504,1,18/05/2018,6,N6,27/05/2018,RC5,,FALSE
99,RND000808364555,1,22/07/2018,3F,N9,05/06/2020,RC6,28/08/2018,FALSE
100,RND000808364555,2,05/04/2022,3B,N9,24/04/2022,RC3,22/04/2022,FALSE
101,RND000808364555,3,04/07/2022,3B,N5,,,,FALSE
102,RND000507529066,1,15/08/2012,3E,N9,21/10/2015,RC8,22/09/2012,FALSE
103,RND000158419375,1,22/06/2021,5C,N0,26/10/2021,RC6,02/09/2021,FALSE
104,RND000319972816,1,24/11/2019,5C,N9,12/11/2024,RC4,30/11/2019,FALSE
105,RND000319972816,2,08/02/2025,3A,N8,,,,FALSE
106,RND000045518815,1,01/01/2009,3F,N5,30/12/2015,RC8,11/03/2009,FALSE
107,RND000045518815,2,01/04/2016,1C,N4,07/10/2016,RC2,02/06/2016,FALSE
108,RND000045518815,3,11/05/2017,1B,N7,,,13/07/2017,FALSE
109,RND000655824595,1,14/02/2010,3E,N1,02/06/2010,RC1,05/03/2010,FALSE
110,RND000093139652,1,17/03/2022,5A,N2,18/07/2022,RC1,21/04/2022,FALSE
111,RND000077241064,1,03/10/2019,1A,N3,13/09/2021,RC8,16/10/2019,FALSE
112,RND000121549831,1,16/02/2018,1D,N1,21/12/2018,RC1,28/02/2018,FALSE
113,RND000121549831,2,10/12/2019,5A,N8,,,22/02/2020,FALSE
114,RND000491157478,1,06/07/2022,8,N4,,,07/07/2022,FALSE
115,RND000397195421,1,27/02/2009,3C,N5,14/05/2009,RC5,25/03/2009,FALSE
116,RND000887756219,1,22/04/2021,7,N8,,,20/06/2021,FALSE
117,RND000713201072,1,04/01/2010,4,N8,17/02/2012,RC3,18/02/2010,FALSE
118,RND000254571221,1,28/01/2020,3C,N2,17/10/2021,RC2,03/04/2020,FALSE
119,RND000591041727,1,29/12/2019,3E,N1,,,06/03/2020,FALSE
120,RND000055985060,1,31/03/2014,8,N8,27/12/2014,RC6,15/04/2014,FALSE
121,RND000055985060,2,23/08/2015,3C,N8,,,05/09/2015,FALSE
122,RND000063991293,1,18/07/2020,3F,N0,24/06/2021,RC2,28/07/2020,FALSE
123,RND000628165525,1,05/11/2020,2B,N4,19/10/2026,RC1,16/12/2020,FALSE
124,RND000859630907,1,18/05/2008,3C,N2,,,02/06/2008,FALSE
125,RND000751235542,1,21/05/2005,3B,N3,08/08/2006,RC6,26/05/2005,FALSE
126,RND000238001241,1,20/04/2020,3C,N4,13/07/2021,RC6,30/05/2020,FALSE
127,RND000238001241,2,22/10/2021,3B,N7,,,27/10/2021,FALSE
128,RND000023887236,1,26/04/2009,1C,N9,,,01/07/2009,FALSE
129,RND000161585424,1,21/04/2006,3F,N9,,,23/06/2006,FALSE
130,RND000617917606,1,15/01/2018,3E,N1,,,01/03/2018,FALSE
131,RND000744127107,1,25/07/2013,9,N2,10/12/2013,RC6,15/09/2013,FALSE
132,RND000744127107,2,23/03/2014,1C,N6,,,,FALSE
133,RND000606201353,1,04/12/2022,3A,N1,11/04/2023,RC8,07/12/2022,FALSE
134,RND000606201353,2,11/02/2026,6,N4,10/06/2026,RC6,09/04/2026,FALSE
135,RND000606201353,3,10/10/2026,5B,N0,,,,FALSE
136,RND000363657813,1,26/10/2021,3B,N4,,,30/11/2021,FALSE
137,RND000201001438,1,07/04/2013,1A,N2,07/06/2019,RC5,18/04/2013,FALSE
138,RND000665556864,1,21/01/2019,4,N4,18/07/2020,RC7,19/02/2019,FALSE
139,RND000665556864,2,10/10/2020,3C,N1,09/02/2022,RC1,17/11/2020,FALSE
140,RND000903038625,1,12/07/2017,2A,N1,21/05/2019,RC4,30/09/2017,FALSE
141,RND000725586644,1,18/05/2019,3A,N2,12/04/2021,RC3,25/07/2019,FALSE
142,RND000346889585,1,04/09/2015,1C,N1,07/10/2021,RC6,09/10/2015,FALSE
143,RND000216102220,1,31/12/2013,4,N9,04/07/2022,RC2,15/01/2014,FALSE
144,RND000096012503,1,21/01/2011,1D,N7,,,01/03/2011,FALSE
145,RND000636881081,1,09/04/2012,3F,N2,,,22/05/2012,FALSE
146,RND000282577901,1,08/12/2007,5C,N3,,,17/12/2007,FALSE
147,RND000793941117,1,21/03/2018,1C,N9,,,10/06/2018,FALSE
148,RND000844544022,1,30/05/2022,5B,N4,,,16/07/2022,FALSE
149,RND000279202002,1,31/12/2021,6,N7,14/06/2022,RC1,07/01/2022,FALSE
150,RND000641014600,1,02/08/2020,9,N6,,,09/10/2020,FALSE
151,RND000302904418,1,05/06/2021,3B,N0,,,04/08/2021,FALSE
152,RND000473840637,1,12/03/2011,2B,N4,14/11/2012,RC6,03/05/2011,FALSE
153,RND000473840637,2,02/07/2017,1C,N9,,,23/09/2017,FALSE
154,RND000827110216,1,24/01/2021,10,N1,28/02/2022,RC6,26/01/2021,FALSE
155,RND000066457878,1,06/07/2021,3C,N6,,,20/09/2021,FALSE
156,RND000230778900,1,07/07/2014,1D,N7,16/11/2014,RC3,27/09/2014,FALSE
157,RND000627202323,1,27/08/2016,9,N1,05/10/2018,RC3,02/09/2016,FALSE
158,RND000627202323,2,12/10/2025,8,N5,,,06/01/2026,FALSE
159,RND000403002895,1,04/06/2020,4,N8,13/11/2021,RC7,15/08/2020,FALSE
160,RND000403002895,2,23/02/2022,1D,N6,26/04/2022,RC6,14/04/2022,FALSE
161,RND000940081110,1,08/08/2018,2A,N7,,,31/08/2018,FALSE
162,RND000352529467,1,15/02/2021,5A,N5,,,18/03/2021,FALSE
163,RND000760393180,1,23/10/2010,1D,N9,08/06/2011,RC1,15/11/2010,FALSE
164,RND000497184906,1,29/08/2011,3E,N9,19/05/2019,RC2,03/10/2011,FALSE
165,RND000972628432,1,01/04/2012,5A,N5,16/04/2015,RC7,05/05/2012,FALSE
166,RND000840001727,1,06/11/2020,1B,N3,27/12/2020,RC7,08/12/2020,FALSE
167,RND000480302580,1,03/06/2016,10,N8,,,05/06/2016,FALSE
168,RND000571441538,1,18/06/2019,1D,N5,31/01/2021,RC2,28/07/2019,FALSE
169,RND000571441538,2,14/09/2021,5A,N0,,,27/10/2021,FALSE
170,RND000515656477,1,09/01/2006,9,N7,17/06/2006,RC4,03/02/2006,FALSE
171,RND000515656477,2,18/06/2006,1D,N2,,,,FALSE
172,RND000983747613,1,12/06/2022,2A,N7,10/07/2022,RC5,17/06/2022,FALSE
173,RND000278246033,1,21/05/2017,1B,N0,,,27/05/2017,FALSE
174,RND000791989114,1,26/01/2019,1A,N4,24/12/2019,RC3,12/03/2019,FALSE
175,RND000791989114,2,09/04/2020,7,N2,,,25/05/2020,FALSE
176,RND000835810869,1,31/10/2019,5B,N1,28/03/2020,RC2,28/01/2020,FALSE
177,RND000087119099,1,21/04/2020,1B,N0,02/04/2021,RC2,26/06/2020,FALSE
178,RND000791136525,1,09/09/2017,10,N0,,,18/10/2017,FALSE
179,RND000642643685,1,01/09/2011,8,N9,27/01/2012,RC5,25/10/2011,FALSE
180,RND000272086280,1,27/12/2020,3E,N2,14/03/2021,RC7,23/02/2021,FALSE
181,RND000272086280,2,08/06/2021,1A,N3,,,31/07/2021,FALSE
182,RND000769651687,1,17/01/2016,2A,N9,15/04/2019,RC5,10/02/2016,FALSE
183,RND000875200739,1,07/04/2020,5A,N7,17/11/2020,RC4,02/05/2020,FALSE
184,RND000875200739,2,15/05/2022,5C,N8,,,,FALSE
185,RND000143058394,1,09/10/2013,1D,N0,01/06/2014,RC2,07/11/2013,FALSE
186,RND000348142248,1,25/04/2022,6,N6,09/06/2022,RC6,03/05/2022,FALSE
187,RND000348142248,2,06/07/2022,2B,N2,,,,FALSE
188,RND000377758028,1,04/05/2012,1A,N8,31/07/2017,RC8,22/06/2012,FALSE
189,RND000377758028,2,11/06/2020,1A,N3,,,09/08/2020,FALSE
190,RND000636575769,1,02/08/2018,5C,N3,06/08/2018,RC4,,FALSE
191,RND000636575769,2,24/08/2018,5B,N2,,,,FALSE
192,RND000307933530,1,23/12/2011,2A,N3,19/05/2012,RC4,11/02/2012,FALSE
193,RND000307933530,2,07/07/2012,1C,N7,,,,FALSE
194,RND000749401373,1,15/06/2012,1C,N6,16/12/2013,RC6,07/09/2012,FALSE
195,RND000517734411,1,23/05/2014,9,N8,08/10/2017,RC7,23/07/2014,FALSE
196,RND000475124282,1,20/05/2022,1D,N5,,,,FALSE
197,RND000312656165,1,23/08/2015,3C,N3,14/03/2016,RC4,30/09/2015,FALSE
198,RND000312656165,2,20/04/2019,9,N3,,,14/05/2019,FALSE
199,RND000600393853,1,17/04/2022,5B,N3,01/06/2022,RC6,,FALSE
200,RND000600393853,2,19/07/2022,10,N5,,,,FALSE
201,RND000268201792,1,22/04/2022,2B,N0,,,25/04/2022,FALSE
202,RND000827213568,1,23/04/2010,1B,N3,,,05/05/2010,FALSE
203,RND000626970801,1,27/09/2019,1A,N7,,,19/12/2019,FALSE
204,RND000929817765,1,23/09/2021,1A,N2,11/03/2024,RC3,29/09/2021,FALSE
205,RND000730290306,1,14/05/2021,3F,N7,11/02/2028,RC6,30/06/2021,FALSE
206,RND000730290306,2,31/03/2030,4,N5,,,29/05/2030,FALSE
207,RND000959792867,1,17/05/2021,5C,N4,03/01/2022,RC3,16/07/2021,FALSE
208,RND000959792867,2,24/05/2022,3D,N8,,,17/06/2022,FALSE
209,RND000539651972,1,16/07/2017,3C,N7,12/05/2019,RC1,31/07/2017,FALSE
210,RND000632912903,1,07/07/2020,4,N2,15/11/2020,RC2,14/07/2020,FALSE
211,RND000016464251,1,17/12/2010,5A,N1,30/04/2011,RC7,13/01/2011,FALSE
212,RND000226387950,1,27/02/2020,2A,N1,,,29/02/2020,FALSE
213,RND000712676819,1,07/05/2022,1B,N0,,,29/05/2022,FALSE
214,RND000079325823,1,05/12/2020,1A,N9,,,,FALSE
215,RND000901468974,1,19/05/2014,5A,N2,21/11/2014,RC3,16/08/2014,FALSE
216,RND000421148177,1,13/10/2012,1B,N1,,,26/10/2012,FALSE
217,RND000191649492,1,15/07/2013,4,N1,21/04/2014,RC7,31/08/2013,FALSE
218,RND000932719682,1,01/05/2009,1D,N9,,,03/07/2009,FALSE
219,RND000581198364,1,23/12/2018,8,N2,24/08/2020,RC8,19/01/2019,FALSE
220,RND000581198364,2,17/11/2021,2B,N0,25/05/2022,RC8,01/12/2021,FALSE
221,RND000288677543,1,04/08/2010,6,N5,,,20/08/2010,FALSE
222,RND000645297798,1,30/07/2015,8,N7,13/12/2021,RC6,02/08/2015,FALSE
223,RND000837958171,1,10/05/2021,3E,N5,,,20/06/2021,FALSE
224,RND000433147102,1,20/01/2018,3E,N4,31/12/2018,RC2,30/01/2018,FALSE
225,RND000232978278,1,08/04/2016,1B,N9,23/12/2019,RC4,06/06/2016,FALSE
226,RND000836323719,1,20/08/2015,2B,N8,29/07/2017,RC7,13/09/2015,FALSE
227,RND000759600642,1,19/08/2007,1C,N5,29/01/2008,RC1,06/11/2007,FALSE
228,RND000685830396,1,29/08/2020,3C,N2,,,01/09/2020,FALSE
229,RND000241402490,1,31/10/2018,5C,N6,19/01/2020,RC7,25/01/2019,FALSE
230,RND000102417174,1,16/06/2021,3F,N6,,,08/09/2021,FALSE
231,RND000044476428,1,11/07/2018,2A,N3,05/07/2020,RC6,13/08/2018,FALSE
232,RND000166207965,1,17/06/2022,3E,N1,,,28/06/2022,TRUE
233,RND000972087505,1,11/01/2018,2A,N6,23/04/2019,RC2,18/03/2018,FALSE
234,RND000011839993,1,10/05/2019,8,N0,12/02/2021,RC7,29/05/2019,FALSE
235,RND000011839993,2,04/05/2021,5C,N8,,,,FALSE
236,RND000085392113,1,16/05/2017,3E,N0,,,15/06/2017,FALSE
237,RND000813949639,1,28/07/2010,9,N0,31/12/2015,RC1,29/08/2010,FALSE
238,RND000784759216,1,11/12/2004,7,N7,23/01/2005,RC7,17/12/2004,FALSE
239,RND000784759216,2,04/04/2005,3F,N3,16/05/2005,RC2,,FALSE
240,RND000686198917,1,02/04/2017,4,N1,05/07/2017,RC4,10/06/2017,FALSE
241,RND000726427279,1,17/07/2022,3D,N5,,,,FALSE
242,RND000901836941,1,22/05/2020,5C,N6,23/03/2021,RC4,03/08/2020,FALSE
243,RND000901836941,2,25/07/2021,9,N2,21/08/2021,RC7,31/07/2021,FALSE
244,RND000563858568,1,22/07/2014,10,N5,,,08/09/2014,FALSE
245,RND000424634735,1,19/04/2013,8,N7,22/04/2018,RC2,02/06/2013,FALSE
246,RND000285664726,1,11/07/2020,3E,N2,27/07/2020,RC7,,FALSE
247,RND000755280144,1,12/12/2014,5B,N5,29/09/2019,RC4,10/01/2015,FALSE
248,RND000294154124,1,01/12/2010,7,N1,09/03/2015,RC6,13/12/2010,FALSE
249,RND000595097589,1,05/06/2019,3D,N1,,,20/06/2019,FALSE
250,RND000853790433,1,30/05/2012,1A,N1,07/09/2013,RC6,18/06/2012,FALSE
251,RND000209306549,1,05/04/2020,7,N4,26/12/2020,RC2,25/05/2020,FALSE
252,RND000641658128,1,13/11/2013,5B,N3,22/01/2020,RC8,16/01/2014,FALSE
253,RND000404678485,1,30/11/2020,3C,N6,01/01/2022,RC5,01/12/2020,FALSE
254,RND000887827604,1,23/02/2019,5C,N9,01/04/2019,RC6,21/03/2019,FALSE
255,RND000887827604,2,03/04/2019,2B,N0,,,,FALSE
256,RND000122055024,1,14/12/2015,3B,N4,07/11/2016,RC6,01/01/2016,FALSE
257,RND000104932227,1,29/09/2016,3A,N0,,,18/10/2016,FALSE
258,RND000313136128,1,01/11/2012,8,N5,29/03/2013,RC1,11/01/2013,FALSE
259,RND000313136128,2,14/02/2015,3E,N1,13/11/2017,RC6,20/03/2015,FALSE
260,RND000296661299,1,26/09/2009,5C,N1,23/04/2010,RC8,17/12/2009,FALSE
261,RND000781391547,1,23/05/2009,10,N1,26/11/2020,RC5,19/06/2009,FALSE
262,RND000781391547,2,19/08/2021,3B,N6,06/04/2022,RC7,10/11/2021,FALSE
263,RND000781391547,3,01/06/2022,4,N0,,,17/06/2022,FALSE
264,RND000755540369,1,16/09/2015,8,N4,06/06/2018,RC1,23/09/2015,FALSE
265,RND000260918429,1,12/04/2011,1A,N8,26/02/2015,RC1,22/04/2011,FALSE
266,RND000535656254,1,07/12/2019,10,N1,28/12/2021,RC7,23/01/2020,FALSE
267,RND000303916944,1,19/04/2020,8,N2,07/10/2020,RC1,27/05/2020,FALSE
268,RND000743019029,1,04/09/2018,3D,N3,,,27/11/2018,FALSE
269,RND000517902671,1,12/04/2020,4,N0,,,04/07/2020,FALSE
270,RND000794197231,1,13/10/2015,1C,N9,24/05/2021,RC8,14/11/2015,FALSE
271,RND000794197231,2,28/11/2021,3B,N9,,,,FALSE
272,RND000507410420,1,31/05/2020,3E,N4,18/06/2021,RC3,10/08/2020,FALSE
273,RND000642195121,1,29/11/2021,9,N2,,,04/01/2022,FALSE
274,RND000823431582,1,17/07/2014,6,N3,22/09/2019,RC8,08/08/2014,FALSE
275,RND000823431582,2,30/10/2020,1B,N5,21/02/2026,RC7,02/12/2020,FALSE
276,RND000823431582,3,23/04/2026,6,N3,,,18/06/2026,FALSE
277,RND000482971048,1,17/07/2007,9,N7,12/12/2021,RC7,31/07/2007,FALSE
278,RND000482971048,2,12/12/2021,9,N5,,,13/12/2021,FALSE
279,RND000553652585,1,26/06/2017,4,N2,30/08/2017,RC8,25/07/2017,FALSE
280,RND000628911866,1,25/01/2019,1A,N2,27/03/2022,RC7,11/02/2019,FALSE
281,RND000532539170,1,12/05/2017,7,N0,29/06/2017,RC7,,FALSE
282,RND000096816382,1,08/06/2022,9,N5,,,,FALSE
283,RND000006626874,1,25/12/2009,10,N0,07/01/2012,RC1,28/01/2010,FALSE
284,RND000006626874,2,29/02/2012,8,N5,26/04/2012,RC7,07/04/2012,FALSE
285,RND000083220964,1,12/07/2022,3A,N8,,,,FALSE
286,RND000138103658,1,13/04/2022,3E,N3,21/05/2026,RC6,06/07/2022,FALSE
287,RND000349698958,1,22/05/2020,1C,N2,,,19/07/2020,FALSE
288,RND000678820117,1,03/01/2018,3E,N2,01/08/2018,RC5,25/03/2018,FALSE
289,RND000200693458,1,21/07/2021,3F,N7,,,11/10/2021,FALSE
290,RND000620011137,1,25/01/2007,1B,N2,30/01/2007,RC8,,FALSE
291,RND000620011137,2,05/03/2007,2A,N5,,,,FALSE
292,RND000500531416,1,20/08/2013,4,N4,23/05/2015,RC7,17/09/2013,FALSE
293,RND000636336014,1,19/06/2022,2A,N6,,,,FALSE
294,RND000265094302,1,18/04/2010,4,N3,11/03/2011,RC5,12/07/2010,FALSE
295,RND000610802087,1,11/10/2021,5C,N1,,,14/12/2021,FALSE
296,RND000003573736,1,04/07/2021,3E,N9,19/08/2021,RC8,,FALSE
297,RND000003573736,2,27/03/2022,3A,N5,,,31/03/2022,FALSE
298,RND000591838060,1,28/09/2018,5C,N4,,,28/10/2018,FALSE
299,RND000419283523,1,20/05/2008,3F,N7,03/07/2008,RC4,,FALSE
300,RND000349392400,1,19/03/2017,2B,N6,,,04/04/2017,FALSE
301,RND000364518154,1,26/03/2019,7,N1,11/01/2021,RC4,10/04/2019,FALSE
302,RND000820632713,1,19/09/2019,1A,N6,14/03/2021,RC2,27/11/2019,FALSE
303,RND000385078505,1,10/08/2007,5B,N6,26/03/2010,RC7,12/10/2007,FALSE
304,RND000548770076,1,27/06/2020,5C,N6,,,08/08/2020,FALSE
305,RND000481486476,1,19/05/2016,5B,N9,26/01/2017,RC8,05/08/2016,FALSE
306,RND000481486476,2,13/02/2017,7,N0,14/01/2018,RC3,02/04/2017,FALSE
307,RND000895236349,1,05/11/2010,8,N1,12/06/2012,RC3,18/01/2011,FALSE
308,RND000895236349,2,20/08/2012,3E,N1,,,03/10/2012,FALSE
309,RND000212979271,1,16/04/2017,2B,N3,,,16/05/2017,FALSE
310,RND000723621089,1,29/06/2021,3E,N6,13/12/2021,RC8,19/09/2021,FALSE
311,RND000012485897,1,20/02/2011,7,N3,21/06/2012,RC4,05/03/2011,FALSE
312,RND000142459796,1,12/07/2022,4,N7,12/07/2022,RC2,,FALSE
313,RND000641084767,1,28/06/2018,3A,N1,04/06/2019,RC1,20/08/2018,FALSE
314,RND000824277873,1,08/11/2021,3C,N0,26/03/2022,RC4,17/01/2022,FALSE
315,RND000644561705,1,09/05/2012,7,N1,,,02/06/2012,FALSE
316,RND000426911580,1,30/06/2009,5A,N7,07/04/2011,RC2,05/07/2009,FALSE
317,RND000190463499,1,23/04/2016,5C,N2,08/12/2017,RC2,18/05/2016,FALSE
318,RND000540659939,1,27/04/2019,3E,N1,04/06/2022,RC8,03/05/2019,FALSE
319,RND000034616909,1,30/07/2014,3E,N9,02/12/2020,RC6,24/10/2014,FALSE
320,RND000921450605,1,29/03/2011,3E,N8,24/06/2019,RC4,31/03/2011,FALSE
321,RND000921450605,2,15/11/2020,3F,N7,26/03/2021,RC2,04/01/2021,FALSE
322,RND000346617043,1,22/12/2009,1A,N8,19/02/2010,RC2,11/02/2010,FALSE
323,RND000436706076,1,21/07/2019,8,N7,11/09/2020,RC5,15/10/2019,FALSE
324,RND000311528404,1,01/07/2022,1C,N6,,,13/07/2022,FALSE
325,RND000474027162,1,05/11/2021,1D,N4,01/06/2022,RC7,05/12/2021,FALSE
